file_year,variable,from_code,from_label,to_code,to_label,notes,review_flag
2015,age_type,0,Years 1 to 99,1,Years,NA,FALSE
2015,age_type,6,,9,Unknown,NA,TRUE
2015,armed_forces,1,Yes,Y,Yes,NA,FALSE
2015,armed_forces,2,No,N,No,NA,FALSE
2015,armed_forces,9,Unknown/Not Stated,U,Unknown,NA,FALSE
2015,autopsy,1,Yes,Y,Yes,NA,FALSE
2015,autopsy,2,No,N,No,NA,FALSE
2015,autopsy,9,Unknown/Not Reported,U,Unknown,NA,FALSE
2015,certifier_designation,01,"Physician, MD",1,Physician,NA,FALSE
2015,certifier_designation,02,Coroner/Pathologist,2,Coroner/ME,NA,FALSE
2015,certifier_designation,03,"Osteopath, DO",3,DO,NA,FALSE
2015,certifier_designation,06,Physician's Assistant,6,Physician Assistant,NA,FALSE
2015,certifier_designation,07,Nurse Practitioner,7,ARNP,NA,FALSE
2015,certifier_designation,09,Other,9,Unknown,NA,FALSE
2015,disposition,1,Burial,B,Burial,NA,FALSE
2015,disposition,2,Cremation,C,Cremation,NA,FALSE
2015,disposition,3,Removal from State,R,Removal from State,NA,FALSE
2015,disposition,4,Donation (medical research),D,Donation/Medical Research,NA,FALSE
2015,disposition,5,Body Not Recovered,N,Body Not Recovered,NA,FALSE
2015,disposition,6,Entombment,E,Entombment,NA,FALSE
2015,disposition,7,Other,O,Other,NA,FALSE
2015,disposition,9,Unknown,U,Unknown,NA,FALSE
2015,injury_at_work,0,Not Applicable,U,Unknown,No mapping available for this one... Could generate a different value like 'X' or NA instead of Unknown,TRUE
2015,injury_at_work,1,Yes,Y,Yes,NA,FALSE
2015,injury_at_work,2,No,N,No,NA,FALSE
2015,injury_at_work,9,Unknown,U,Unknown,NA,FALSE
2015,manner,1,Natural,N,Natural,NA,FALSE
2015,manner,2,Accident,A,Accident,NA,FALSE
2015,manner,3,Suicide,S,Suicide,NA,FALSE
2015,manner,4,Homicide,H,Homicide,NA,FALSE
2015,manner,5,Undetermined,C,Undetermined,NA,FALSE
2015,manner,6,Pending,P,Pending,NA,FALSE
2015,marital_status,1,Never Married,S,Never Married,NA,FALSE
2015,marital_status,2,Married,M,Married,NA,FALSE
2015,marital_status,3,Divorced,D,Divorced,NA,FALSE
2015,marital_status,4,Widowed,W,Widowed,NA,FALSE
2015,marital_status,5,Separated,A,Married but Separated,NA,FALSE
2015,marital_status,6,Domestic Partner,P,Domestic Partner,NA,FALSE
2015,marital_status,9,Unknown,U,Unknown,NA,FALSE
2015,me_coroner_referred,1,Yes,Y,Yes,NA,FALSE
2015,me_coroner_referred,2,No,N,No,NA,FALSE
2015,me_coroner_referred,9,Unknown/Not Stated,U,Unknown,NA,FALSE
2015,residence_length_type,0,Years 1 to 99,Y,Years,NA,FALSE
2015,residence_length_type,1,Years 100 or more,Y,Years,NA,FALSE
2015,residence_length_type,2,Months,M,Months,NA,FALSE
2015,residence_length_type,4,Days,D,Days,NA,FALSE
2015,residence_length_type,5,Hours,H,Hours,NA,FALSE
2015,residence_length_type,6,Minutes,N,Minutes,NA,FALSE
2015,residence_length_type,9,Unknown/Not Stated,U,Unknown,NA,FALSE
2015,tobacco,1,Yes,Y,Yes,NA,FALSE
2015,tobacco,2,No,N,No,NA,FALSE
2015,tobacco,7,Probably,P,Probably,NA,FALSE
2015,tobacco,9,Unknown,U,Unknown,NA,FALSE
